dataset_name,split_id,model_name,partition,metric_name,metric_value,num_samples,num_classes,best_epoch,seed
gse164690_hnscc,hpv_stratified_seed42,mlp,train,macro_f1,0.812714737170136,66968,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,train,weighted_f1,0.849419750684603,66968,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,train,balanced_accuracy,0.808388306461251,66968,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,train,overall_accuracy,0.851630629554414,66968,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,train,macro_precision,0.8307161664666152,66968,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,train,macro_recall,0.808388306461251,66968,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,val,macro_f1,0.8402140797281702,30215,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,val,weighted_f1,0.893468293676307,30215,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,val,balanced_accuracy,0.8617697304601928,30215,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,val,overall_accuracy,0.8936951845110045,30215,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,val,macro_precision,0.8289672951717783,30215,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,val,macro_recall,0.8617697304601928,30215,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,test,macro_f1,0.8338387180389438,39698,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,test,weighted_f1,0.8621580055830443,39698,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,test,balanced_accuracy,0.8364994649188435,39698,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,test,overall_accuracy,0.8620081616202327,39698,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,test,macro_precision,0.844535235527918,39698,14,68,7
gse164690_hnscc,hpv_stratified_seed42,mlp,test,macro_recall,0.8364994649188435,39698,14,68,7
