dataset_name,split_id,model_name,partition,metric_name,metric_value,num_samples,num_classes,best_epoch,seed
gse164690_hnscc,hpv_stratified_seed42,mlp,train,macro_f1,0.8034970022583511,66968,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,train,weighted_f1,0.8443538124561284,66968,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,train,balanced_accuracy,0.7985649463827732,66968,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,train,overall_accuracy,0.8456576275235933,66968,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,train,macro_precision,0.8154692673716467,66968,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,train,macro_recall,0.7985649463827732,66968,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,val,macro_f1,0.8388526089730518,30215,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,val,weighted_f1,0.8942154737824861,30215,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,val,balanced_accuracy,0.8558311715699605,30215,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,val,overall_accuracy,0.8946218765513818,30215,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,val,macro_precision,0.8299499093592703,30215,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,val,macro_recall,0.8558311715699605,30215,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,test,macro_f1,0.8344865828595279,39698,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,test,weighted_f1,0.8705758722619259,39698,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,test,balanced_accuracy,0.8326298156649596,39698,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,test,overall_accuracy,0.8708499168723866,39698,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,test,macro_precision,0.8443034339330032,39698,14,29,73
gse164690_hnscc,hpv_stratified_seed42,mlp,test,macro_recall,0.8326298156649596,39698,14,29,73
