model_name,graph_name,seed,match_status,gnn_test_macro_f1,mlp_test_macro_f1,matched_graph_lift,gnn_test_balacc,mlp_test_balacc,balacc_lift,cambridge_obs_f1,newcastle_obs_f1,best_epoch,training_time_seconds,run_dir
gcn,bbknn_kperbatch2_donors12,101,matched,0.8865242346450796,0.9025353883843753,-0.016011153739295736,0.8826240684405243,0.9128627537752969,-0.030238685334772586,0.8733259708907776,0.8523138820102237,476,64.65616840170696,gcn_bbknn_kperbatch2_donors12_seed101
gcn,bbknn_kperbatch2_donors12,17,matched,0.8858782428161153,0.9041478114631117,-0.01826956864699647,0.882207349389104,0.9131832076886549,-0.030975858299550962,0.8717611316532996,0.8526037461084012,477,64.1045409119688,gcn_bbknn_kperbatch2_donors12_seed17
gcn,bbknn_kperbatch2_donors12,42,matched,0.8857390863792052,0.9011836657450402,-0.015444579365834987,0.8820968487545451,0.913511608218259,-0.03141475946371397,0.8723150560040241,0.8520221856793119,475,64.093649844639,gcn_bbknn_kperbatch2_donors12_seed42
gcn,bbknn_kperbatch2_donors12,7,matched,0.8864609018314843,0.9010732349212551,-0.014612333089770835,0.8828396407762265,0.9148870757604023,-0.03204743498417584,0.8715349306307701,0.8541556801417566,458,64.67502543702722,gcn_bbknn_kperbatch2_donors12_seed7
gcn,bbknn_kperbatch2_donors12,73,matched,0.8858469147703784,0.9041389927669309,-0.018292077996552525,0.8821197297722455,0.9140127377263001,-0.031893007954054586,0.8712755755323526,0.8515799674212613,438,62.67853066511452,gcn_bbknn_kperbatch2_donors12_seed73
gcn,mutual_knn_reference_standard_query_k20_unweighted,101,matched,0.8721877717343016,0.9025353883843753,-0.030347616650073683,0.868235754219293,0.9128627537752969,-0.04462699955600391,0.8615784066176473,0.8289442812711951,468,26.4867407460697,gcn_mutual_knn_reference_standard_query_k20_unweighted_seed101
gcn,mutual_knn_reference_standard_query_k20_unweighted,17,matched,0.8717691844496835,0.9041478114631117,-0.032378627013428196,0.8678733850583606,0.9131832076886549,-0.04530982263029426,0.8610132862399859,0.8277557746716453,484,26.437896273098886,gcn_mutual_knn_reference_standard_query_k20_unweighted_seed17
gcn,mutual_knn_reference_standard_query_k20_unweighted,42,matched,0.8719050250942103,0.9011836657450402,-0.029278640650829857,0.8679572698093873,0.913511608218259,-0.0455543384088718,0.8607327010085722,0.8284953604573705,461,26.42068866174668,gcn_mutual_knn_reference_standard_query_k20_unweighted_seed42
gcn,mutual_knn_reference_standard_query_k20_unweighted,7,matched,0.8726858103749939,0.9010732349212551,-0.028387424546261197,0.8689679647568037,0.9148870757604023,-0.04591911100359858,0.8611653462363931,0.830679621707937,486,27.118894638027996,gcn_mutual_knn_reference_standard_query_k20_unweighted_seed7
gcn,mutual_knn_reference_standard_query_k20_unweighted,73,matched,0.8725351570094451,0.9041389927669309,-0.03160383575748582,0.8687797604633438,0.9140127377263001,-0.045232977262956275,0.8607162612793985,0.8303066553864876,499,26.40979791712016,gcn_mutual_knn_reference_standard_query_k20_unweighted_seed73
gcn,pca_knn_k20_unweighted,101,matched,0.8814758156558349,0.9025353883843753,-0.02105957272854042,0.8805615296423411,0.9128627537752969,-0.032301224132955775,0.8677712077082144,0.8453420256213326,300,30.37695962190628,gcn_pca_knn_k20_unweighted_seed101
gcn,pca_knn_k20_unweighted,17,matched,0.8842014002394966,0.9041478114631117,-0.01994641122361518,0.8840311119450117,0.9131832076886549,-0.02915209574364319,0.8704655556488147,0.8486221809358749,410,39.91958581097424,gcn_pca_knn_k20_unweighted_seed17
gcn,pca_knn_k20_unweighted,42,matched,0.8822821033636045,0.9011836657450402,-0.0189015623814357,0.8823095827638511,0.913511608218259,-0.031202025454407978,0.8701802393761467,0.8449981098686492,351,34.78685901593417,gcn_pca_knn_k20_unweighted_seed42
gcn,pca_knn_k20_unweighted,7,matched,0.8809205185848837,0.9010732349212551,-0.02015271633637139,0.8802683947398601,0.9148870757604023,-0.03461868102054222,0.8695840241938338,0.8428003073054748,335,34.05729437340051,gcn_pca_knn_k20_unweighted_seed7
gcn,pca_knn_k20_unweighted,73,matched,0.8838496098510255,0.9041389927669309,-0.02028938291590543,0.8842523352037718,0.9140127377263001,-0.029760402522528318,0.8694365680656628,0.8482647636804739,489,43.37082716310397,gcn_pca_knn_k20_unweighted_seed73
gcn,pca_knn_k24_unweighted,101,matched,0.8837815262067084,0.9025353883843753,-0.018753862177666947,0.8833656708002584,0.9128627537752969,-0.029497082975038502,0.8703504155672409,0.848036901200047,421,47.568842568900436,gcn_pca_knn_k24_unweighted_seed101
gcn,pca_knn_k24_unweighted,17,matched,0.8856841566555932,0.9041478114631117,-0.018463654807518548,0.8850180034872733,0.9131832076886549,-0.028165204201381577,0.8704561080369415,0.8513664050534935,463,50.51313707185909,gcn_pca_knn_k24_unweighted_seed17
gcn,pca_knn_k24_unweighted,42,matched,0.8821173747552136,0.9011836657450402,-0.019066290989826595,0.8816046388542791,0.913511608218259,-0.031906969363979965,0.8686405329491524,0.8454942139573985,351,40.53922438714653,gcn_pca_knn_k24_unweighted_seed42
gcn,pca_knn_k24_unweighted,7,matched,0.8842817345200246,0.9010732349212551,-0.016791500401230564,0.8841156614204652,0.9148870757604023,-0.03077141433993713,0.8705013755872684,0.8489965851379973,486,51.08189893933013,gcn_pca_knn_k24_unweighted_seed7
gcn,pca_knn_k24_unweighted,73,matched,0.882189603999922,0.9041389927669309,-0.021949388767008915,0.8806476567807481,0.9140127377263001,-0.03336508094555202,0.867920186520815,0.8458717026365639,285,33.85170507384464,gcn_pca_knn_k24_unweighted_seed73
gcn,pca_knn_k50_unweighted,101,matched,0.8848136232584983,0.9025353883843753,-0.017721765125876976,0.8831304675153447,0.9128627537752969,-0.029732286259952168,0.8713405093377823,0.8482027778993856,476,96.95147637510672,gcn_pca_knn_k50_unweighted_seed101
gcn,pca_knn_k50_unweighted,17,matched,0.8864607791794556,0.9041478114631117,-0.01768703228365609,0.8844024814155929,0.9131832076886549,-0.02878072627306205,0.8704810723659534,0.8526755157217601,458,97.22423227922991,gcn_pca_knn_k50_unweighted_seed17
gcn,pca_knn_k50_unweighted,42,matched,0.8852421990342316,0.9011836657450402,-0.01594146671080854,0.8838913272640699,0.913511608218259,-0.029620280954189115,0.8707297868363129,0.8499059762478439,494,97.73011702811345,gcn_pca_knn_k50_unweighted_seed42
gcn,pca_knn_k50_unweighted,7,matched,0.8849216809920107,0.9010732349212551,-0.01615155392924439,0.883170911908355,0.9148870757604023,-0.03171616385204734,0.8714459849576043,0.8480973055907949,458,97.1966630378738,gcn_pca_knn_k50_unweighted_seed7
gcn,pca_knn_k50_unweighted,73,matched,0.8848064691766124,0.9041389927669309,-0.01933252359031845,0.8831355308588563,0.9140127377263001,-0.030877206867443774,0.869098754467902,0.8505332369196754,499,97.33835974195972,gcn_pca_knn_k50_unweighted_seed73
graphsage,bbknn_kperbatch2_donors12,101,matched,0.9017381335668553,0.9025353883843753,-0.0007972548175200211,0.9073958128843659,0.9128627537752969,-0.005466940890931027,0.8908193173502564,0.8712125379257923,489,47.47316731791943,graphsage_bbknn_kperbatch2_donors12_seed101
graphsage,bbknn_kperbatch2_donors12,17,matched,0.9007644720669519,0.9041478114631117,-0.003383339396159868,0.904917939653595,0.9131832076886549,-0.008265268035059892,0.8877672087214344,0.8711069949011959,363,39.39284071698785,graphsage_bbknn_kperbatch2_donors12_seed17
graphsage,bbknn_kperbatch2_donors12,42,matched,0.9023278220312494,0.9011836657450402,0.0011441562862092303,0.905766645253416,0.913511608218259,-0.007744962964843061,0.8883254004726363,0.8728310156567954,412,43.941920885350555,graphsage_bbknn_kperbatch2_donors12_seed42
graphsage,bbknn_kperbatch2_donors12,7,matched,0.8991546113024006,0.9010732349212551,-0.0019186236188545314,0.9009741670487507,0.9148870757604023,-0.013912908711651628,0.8855564795418585,0.8694037694520528,219,26.325983868911862,graphsage_bbknn_kperbatch2_donors12_seed7
graphsage,bbknn_kperbatch2_donors12,73,matched,0.9032563756042605,0.9041389927669309,-0.0008826171626703516,0.9087058307616477,0.9140127377263001,-0.005306906964652414,0.8917389556498284,0.8747016218339819,459,47.63081518700346,graphsage_bbknn_kperbatch2_donors12_seed73
graphsage,mutual_knn_reference_standard_query_k20_unweighted,101,matched,0.89774762578589,0.9025353883843753,-0.004787762598485346,0.9015672404401123,0.9128627537752969,-0.011295513335184637,0.8874774550071373,0.8668520363930908,430,19.40629564691335,graphsage_mutual_knn_reference_standard_query_k20_unweighted_seed101
graphsage,mutual_knn_reference_standard_query_k20_unweighted,17,matched,0.9027237957645872,0.9041478114631117,-0.0014240156985245722,0.9067929765997959,0.9131832076886549,-0.006390231088859055,0.8884630514751657,0.8757536085463776,482,20.27714548818767,graphsage_mutual_knn_reference_standard_query_k20_unweighted_seed17
graphsage,mutual_knn_reference_standard_query_k20_unweighted,42,matched,0.8954531032389644,0.9011836657450402,-0.0057305625060757315,0.8985950333411902,0.913511608218259,-0.014916574877068878,0.8856784521649081,0.8611435198101676,340,15.83758413605392,graphsage_mutual_knn_reference_standard_query_k20_unweighted_seed42
graphsage,mutual_knn_reference_standard_query_k20_unweighted,7,matched,0.902153652880718,0.9010732349212551,0.0010804179594628982,0.9071368844505202,0.9148870757604023,-0.007750191309882082,0.8886473905262174,0.8753232318190145,449,21.026665621902794,graphsage_mutual_knn_reference_standard_query_k20_unweighted_seed7
graphsage,mutual_knn_reference_standard_query_k20_unweighted,73,matched,0.8996947528349891,0.9041389927669309,-0.0044442399319417625,0.9043768628962502,0.9140127377263001,-0.009635874830049906,0.8884945026159068,0.8674598035762808,476,20.168237294070423,graphsage_mutual_knn_reference_standard_query_k20_unweighted_seed73
graphsage,pca_knn_k20_unweighted,101,matched,0.8965956150825084,0.9025353883843753,-0.005939773301866902,0.8995809147290513,0.9128627537752969,-0.01328183904624558,0.8861169570703301,0.8639817718047832,349,25.060604543890804,graphsage_pca_knn_k20_unweighted_seed101
graphsage,pca_knn_k20_unweighted,17,matched,0.9017860481629408,0.9041478114631117,-0.002361763300170905,0.9060216364740791,0.9131832076886549,-0.007161571214575835,0.8915279488209172,0.8702984539410039,492,31.41832055011764,graphsage_pca_knn_k20_unweighted_seed17
graphsage,pca_knn_k20_unweighted,42,matched,0.8974504452692269,0.9011836657450402,-0.0037332204758132592,0.9000950857911186,0.913511608218259,-0.01341652242714042,0.8838371550155268,0.8659435621392929,278,20.579038587398827,graphsage_pca_knn_k20_unweighted_seed42
graphsage,pca_knn_k20_unweighted,7,matched,0.8964780810295435,0.9010732349212551,-0.004595153891711612,0.8995606204150342,0.9148870757604023,-0.01532645534536814,0.8826358985393932,0.8665147258914407,255,19.722662969026715,graphsage_pca_knn_k20_unweighted_seed7
graphsage,pca_knn_k20_unweighted,73,matched,0.8984629809264506,0.9041389927669309,-0.005676011840480277,0.9013692546367905,0.9140127377263001,-0.012643483089509577,0.8859329165562871,0.8677908428978686,341,24.496651418041438,graphsage_pca_knn_k20_unweighted_seed73
