dataset_name,split_id,model_name,partition,metric_name,metric_value,num_samples,num_classes,best_epoch,seed
gse164690_hnscc,hpv_stratified_seed42,mlp,train,macro_f1,0.8174574477852607,66968,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,train,weighted_f1,0.852462435051293,66968,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,train,balanced_accuracy,0.8310473322012274,66968,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,train,overall_accuracy,0.8511826544021025,66968,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,train,macro_precision,0.8132077800073406,66968,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,train,macro_recall,0.8310473322012274,66968,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,val,macro_f1,0.8405713772389893,30215,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,val,weighted_f1,0.8942073980678348,30215,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,val,balanced_accuracy,0.8708226660529746,30215,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,val,overall_accuracy,0.8927023001820288,30215,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,val,macro_precision,0.8216183069371948,30215,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,val,macro_recall,0.8708226660529746,30215,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,test,macro_f1,0.8391511791653761,39698,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,test,weighted_f1,0.8716506008968565,39698,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,test,balanced_accuracy,0.848109320886537,39698,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,test,overall_accuracy,0.8706232051992544,39698,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,test,macro_precision,0.8446716360744981,39698,14,59,42
gse164690_hnscc,hpv_stratified_seed42,mlp,test,macro_recall,0.848109320886537,39698,14,59,42
