dataset_name,split_id,model_name,partition,metric_name,metric_value,num_samples,num_classes,best_epoch,seed
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,macro_f1,0.9475513995848944,38692,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,weighted_f1,0.9514985786495266,38692,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,balanced_accuracy,0.9472857776107956,38692,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,overall_accuracy,0.9518246665977463,38692,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,macro_precision,0.9482892810502047,38692,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,macro_recall,0.9472857776107956,38692,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,macro_f1,0.8910933019272224,21759,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,weighted_f1,0.9062928372376439,21759,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,balanced_accuracy,0.8916228216952025,21759,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,overall_accuracy,0.9089112551128269,21759,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,macro_precision,0.8974365343994241,21759,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,macro_recall,0.8916228216952025,21759,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,macro_f1,0.9041478114631117,18508,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,weighted_f1,0.9143186087697646,18508,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,balanced_accuracy,0.9131832076886549,18508,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,overall_accuracy,0.9149556948346661,18508,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,macro_precision,0.8977091438818469,18508,12,31,17
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,macro_recall,0.9131832076886549,18508,12,31,17
