run_id,dataset_name,split_id,model_name,graph_name,seed,partition,donor_id,site,observed_class_macro_f1,global_label_macro_f1,balanced_accuracy,support
gcn_bbknn_kperbatch2_donors12_seed101,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,101,test,C-8938,Cambridge,0.8773902711608015,0.8773902711608015,0.870301838265194,2750
gcn_bbknn_kperbatch2_donors12_seed101,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,101,test,C-8939,Cambridge,0.9782192255991159,0.40759134399963165,0.9688330948919855,1615
gcn_bbknn_kperbatch2_donors12_seed101,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,101,test,C-8940,Cambridge,0.8565473975214056,0.8565473975214056,0.8425074348934677,6627
gcn_bbknn_kperbatch2_donors12_seed101,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,101,test,CV0904,Newcastle,0.8651283851069397,0.8651283851069397,0.8579172697369998,5011
gcn_bbknn_kperbatch2_donors12_seed101,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,101,test,CV0940,Newcastle,0.8211250996052194,0.8211250996052194,0.8275632731434222,2505
gcn_bbknn_kperbatch2_donors12_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,17,test,C-8938,Cambridge,0.8782526847197478,0.8782526847197478,0.8712495320737866,2750
gcn_bbknn_kperbatch2_donors12_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,17,test,C-8939,Cambridge,0.9753235525619685,0.40638481356748685,0.96608147321381,1615
gcn_bbknn_kperbatch2_donors12_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,17,test,C-8940,Cambridge,0.8547857377990868,0.8547857377990868,0.8414649483003075,6627
gcn_bbknn_kperbatch2_donors12_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,17,test,CV0904,Newcastle,0.8647310579490309,0.8647310579490309,0.8573743525383938,5011
gcn_bbknn_kperbatch2_donors12_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,17,test,CV0940,Newcastle,0.8225316141811007,0.8225316141811007,0.8292955777894098,2505
gcn_bbknn_kperbatch2_donors12_seed42,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,42,test,C-8938,Cambridge,0.8768966256114431,0.8768966256114431,0.8695766085658526,2750
gcn_bbknn_kperbatch2_donors12_seed42,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,42,test,C-8939,Cambridge,0.9782192255991159,0.40759134399963165,0.9688330948919855,1615
gcn_bbknn_kperbatch2_donors12_seed42,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,42,test,C-8940,Cambridge,0.8558778281963604,0.8558778281963604,0.8425046209713928,6627
gcn_bbknn_kperbatch2_donors12_seed42,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,42,test,CV0904,Newcastle,0.8659577282587376,0.8659577282587376,0.8579424657990059,5011
gcn_bbknn_kperbatch2_donors12_seed42,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,bbknn_kperbatch2_donors12,42,test,CV0940,Newcastle,0.82084621084666,0.82084621084666,0.8300259934373249,2505
