run_id,dataset_name,split_id,model_name,graph_name,seed,partition,class_index,class_name,precision,recall,f1,support
gcn_pca_knn_k10_unweighted_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,pca_knn_k10_unweighted,17,test,0,CD14-positive monocyte,1.0,0.9991111111111111,0.9995553579368608,2250
gcn_pca_knn_k10_unweighted_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,pca_knn_k10_unweighted,17,test,1,"CD16-negative, CD56-bright natural killer cell, human",0.8994614003590664,0.9506641366223909,0.9243542435424354,527
gcn_pca_knn_k10_unweighted_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,pca_knn_k10_unweighted,17,test,2,"CD16-positive, CD56-dim natural killer cell, human",0.9739952718676123,0.9849726775956285,0.9794532178638139,2928
gcn_pca_knn_k10_unweighted_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,pca_knn_k10_unweighted,17,test,3,"central memory CD4-positive, alpha-beta T cell",0.8235037134119703,0.7990674014412886,0.8111015490533563,2359
gcn_pca_knn_k10_unweighted_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,pca_knn_k10_unweighted,17,test,4,"effector CD8-positive, alpha-beta T cell",0.9303062302006336,0.8971486761710794,0.9134266459305339,1964
gcn_pca_knn_k10_unweighted_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,pca_knn_k10_unweighted,17,test,5,"effector memory CD8-positive, alpha-beta T cell",0.7534685165421559,0.7316062176165803,0.7423764458464774,965
gcn_pca_knn_k10_unweighted_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,pca_knn_k10_unweighted,17,test,6,gamma-delta T cell,0.8163841807909604,0.7467700258397932,0.7800269905533064,774
gcn_pca_knn_k10_unweighted_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,pca_knn_k10_unweighted,17,test,7,mucosal invariant T cell,0.8471849865951743,0.7222857142857143,0.7797655768044417,875
gcn_pca_knn_k10_unweighted_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,pca_knn_k10_unweighted,17,test,8,naive B cell,1.0,1.0,1.0,682
gcn_pca_knn_k10_unweighted_seed17,stephenson_2021_healthy_pbmc,site_stratified_seed42,gcn,pca_knn_k10_unweighted,17,test,9,"naive thymus-derived CD4-positive, alpha-beta T cell",0.8194719471947195,0.9048833819241983,0.8600623484586075,2744
