run_id,model_name,graph_name,seed,class_index,class_name,f1,mlp_f1,class_delta_f1
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,0,CD14-positive monocyte,0.9995553579368608,0.9997778271495223,-0.00022246921266155795
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,1,"CD16-negative, CD56-bright natural killer cell, human",0.9235074626865671,0.9050576752440106,0.018449787442556542
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,2,"CD16-positive, CD56-dim natural killer cell, human",0.9765083657258746,0.9775415738042174,-0.0010332080783427289
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,3,"central memory CD4-positive, alpha-beta T cell",0.8113529662825437,0.8352473498233216,-0.023894383540777886
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,4,"effector CD8-positive, alpha-beta T cell",0.9163408913213448,0.9247089262613195,-0.008368034939974733
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,5,"effector memory CD8-positive, alpha-beta T cell",0.7621536853110298,0.7985648385443362,-0.03641115323330646
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,6,gamma-delta T cell,0.8043775649794802,0.8324468085106383,-0.02806924353115814
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,7,mucosal invariant T cell,0.7951219512195122,0.8565072302558399,-0.06138527903632762
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,8,naive B cell,1.0,0.9992673992673993,0.00073260073260073
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,9,"naive thymus-derived CD4-positive, alpha-beta T cell",0.8588598901098901,0.887667216419278,-0.02880732630938798
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,10,"naive thymus-derived CD8-positive, alpha-beta T cell",0.8804597701149425,0.917774762550882,-0.0373149924359395
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,11,platelet,0.91005291005291,0.8958630527817404,0.014189857271169615
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,0,CD14-positive monocyte,0.9995553579368608,0.9997778271495223,-0.00022246921266155795
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,1,"CD16-negative, CD56-bright natural killer cell, human",0.9207828518173345,0.9136690647482014,0.007113787069133126
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,2,"CD16-positive, CD56-dim natural killer cell, human",0.9755026186855887,0.9781569965870307,-0.002654377901441962
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,3,"central memory CD4-positive, alpha-beta T cell",0.8126875267895414,0.8402793421941879,-0.027591815404646503
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,4,"effector CD8-positive, alpha-beta T cell",0.9151657530670844,0.9284619315278487,-0.013296178460764363
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,5,"effector memory CD8-positive, alpha-beta T cell",0.7590172503920544,0.7904,-0.031382749607945626
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,6,gamma-delta T cell,0.7955801104972375,0.8323699421965318,-0.036789831699294284
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,7,mucosal invariant T cell,0.798314268512944,0.8579577866514546,-0.059643518138510654
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,8,naive B cell,1.0,0.9992673992673993,0.00073260073260073
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,9,"naive thymus-derived CD4-positive, alpha-beta T cell",0.8599862731640356,0.8911355840404405,-0.031149310876404823
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,10,"naive thymus-derived CD8-positive, alpha-beta T cell",0.8808705612829324,0.9251626898047722,-0.044292128521839835
