dataset_name,split_id,model_name,partition,metric_name,metric_value,num_samples,num_classes,best_epoch,seed
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,macro_f1,0.9422140975091051,38692,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,weighted_f1,0.9465450992445531,38692,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,balanced_accuracy,0.9425934145899694,38692,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,overall_accuracy,0.9469140907681174,38692,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,macro_precision,0.9422017156531198,38692,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,train,macro_recall,0.9425934145899694,38692,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,macro_f1,0.8902265932227714,21759,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,weighted_f1,0.906233691184415,21759,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,balanced_accuracy,0.8904319849702172,21759,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,overall_accuracy,0.9087733811296475,21759,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,macro_precision,0.8963244565332477,21759,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,val,macro_recall,0.8904319849702172,21759,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,macro_f1,0.9041389927669309,18508,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,weighted_f1,0.9141662118853305,18508,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,balanced_accuracy,0.9140127377263001,18508,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,overall_accuracy,0.9147395720769397,18508,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,macro_precision,0.8970628593597937,18508,12,22,73
stephenson_2021_healthy_pbmc,site_stratified_seed42,mlp,test,macro_recall,0.9140127377263001,18508,12,22,73
